28,0.10,0.92
358556208,0.30,0.03,0.85
358561120,0.30,0.03,0.87
358566072,0.30,0.01,0.87
358571008,0.30,0.01,0.87
358575936,0.29,0.02,0.88
358580880,0.29,0.01,0.88
358585808,0.29,0.02,0.89
358590736,0.30,0.01,0.88
358595664,0.28,0.01,0.89
358600624,0.25,0.01,0.89
358605576,0.27,-0.00,0.89
358610536,0.24,0.01,0.89
358615464,0.23,0.02,0.89
358620392,0.25,0.02,0.90
358625304,0.23,0.01,0.92
358630240,0.20,0.01,0.90
358635184,0.22,0.01,0.90
358640144,0.25,0.01,0.89
358645064,0.23,0.02,0.90
358649984,0.23,-0.01,0.89
358654960,0.22,0.01,0.89
358659904,0.21,-0.01,0.88
358664896,0.22,-0.01,0.88
358669880,0.22,-0.01,0.87
358674848,0.23,0.01,0.89
358679776,0.21,0.01,0.88
358684720,0.22,0.00,0.89
358689656,0.22,-0.01,0.92
358694640,0.21,0.01,0.90
358699608,0.20,0.01,0.90
358704536,0.20,0.00,0.90
358709448,0.20,0.00,0.92
358714376,0.17,0.01,0.90
358719312,0.18,-0.00,0.90
358724296,0.17,0.01,0.91
358729256,0.17,0.01,0.90
358734184,0.17,0.01,0.90
358739096,0.20,-0.01,0.92
358744040,0.18,-0.01,0.90
358749000,0.19,0.00,0.90
358753928,0.18,0.01,0.91
358758888,0.18,-0.01,0.91
358763880,0.26,-0.20,0.89
358768840,0.21,0.04,0.92
358773768,0.17,-0.02,0.94
358778752,0.24,-0.06,0.91
358783720,0.24,0.01,0.91
358788664,0.25,-0.03,0.92
358793640,0.26,-0.04,0.92
358798616,0.26,-0.01,0.91
358803608,0.24,-0.00,0.91
358808584,0.25,-0.03,0.91
358813584,0.25,-0.03,0.92
358818568,0.23,-0.01,0.94
358823536,0.21,-0.02,0.95
358828504,0.28,-0.03,0.95
358833488,0.26,-0.03,0.96
358838456,0.24,-0.01,0.95
358843424,0.24,-0.04,0.97
358848392,0.26,-0.03,0.97
358853368,0.22,-0.05,0.95
358858336,0.22,-0.02,0.96
358863304,0.20,-0.04,0.95
358868264,0.23,-0.07,0.96
358873240,0.20,-0.02,0.96
358878208,0.17,-0.06,0.95
358883160,0.20,-0.04,0.95
358888120,0.19,-0.05,0.95
358893072,0.20,-0.04,0.94
358898024,0.22,-0.05,0.95
358902976,0.21,-0.07,0.95
358907960,0.19,-0.07,0.96
358912936,0.19,-0.09,0.97
358917904,0.18,-0.08,0.97
358922888,0.18,-0.08,0.97
358927864,0.18,-0.08,0.97
358932824,0.16,-0.12,0.98
358937792,0.14,-0.12,0.98
358942752,0.17,-0.12,0.97
358947720,0.18,-0.10,0.96
358952680,0.15,-0.11,0.97
358957672,0.14,-0.10,0.98
358962640,0.15,-0.10,0.98
358967640,0.16,-0.12,0.98
358972624,0.16,-0.12,0.99
358977624,0.17,-0.12,0.98
358982608,0.18,-0.12,0.98
358987600,0.18,-0.12,0.99
358992584,0.18,-0.13,0.99
358997576,0.16,-0.11,0.96
359002568,0.16,-0.12,0.97
359007560,0.14,-0.12,0.98
359012528,0.14,-0.12,0.97
359017528,0.15,-0.13,0.97
359022512,0.15,-0.11,0.97
359027480,0.16,-0.14,0.97
359032456,0.15,-0.10,0.97
359037424,0.13,-0.12,0.97
359042400,0.14,-0.12,0.99
359047360,0.13,-0.14,0.97
359052328,0.13,-0.12,0.98
359057304,0.13,-0.13,0.97
359062296,0.15,-0.13,0.97
359067288,0.16,-0.12,0.96
359072272,0.15,-0.14,0.98
359077272,0.15,-0.14,0.98
359082280,0.14,-0.14,0.98
359087264,0.15,-0.12,0.98
359092256,0.15,-0.13,0.98
359097248,0.12,-0.13,0.98
359102248,0.09,-0.13,0.95
359107224,0.14,-0.13,0.96
359112216,0.14,-0.12,0.96
359117208,0.12,-0.12,0.97
359122200,0.11,-0.14,0.94
359127176,0.13,-0.13,0.95
359132152,0.14,-0.12,0.94
359137128,0.14,-0.12,0.95
359142104,0.14,-0.12,0.93
359147080,0.18,-0.12,0.94
359152056,0.18,-0.12,0.92
359157024,0.18,-0.10,0.92
359162016,0.19,-0.09,0.91
359166976,0.22,-0.09,0.91
359171944,0.22,-0.05,0.90
359176904,0.23,-0.03,0.90
359181880,0.24,-0.05,0.89
359186848,0.24,-0.03,0.92
359191816,0.23,-0.05,0.86
359196776,0.32,-0.09,0.83
359201736,0.18,-0.08,0.78
359206688,0.23,-0.21,0.72
359211672,0.21,-0.16,0.70
359216656,0.24,-0.21,0.70
359221640,0.22,-0.43,0.99
359226624,0.07,-0.61,1.14
359231616,0.65,-0.54,1.94
359236616,0.44,-0.29,1.51
359241616,-0.02,-0.44,1.33
359246648,0.10,-0.34,1.21
359251648,0.41,-0.32,1.29
359256672,0.32,-0.39,1.32
359261672,0.19,-0.39,1.26
359266664,0.08,-0.36,1.14
359271656,0.00,-0.30,1.06
359276632,-0.03,-0.32,0.99
359231616,359276632,2.12,0.65,-0.54,1.94,tap-1
359338480,-0.02,-0.49,1.05
359343488,0.00,-0.49,1.03
359348368,0.04,-0.49,1.03
359353344,0.03,-0.47,1.00
359358304,0.00,-0.45,0.97
359363288,0.01,-0.42,0.95
359368264,-0.18,-0.30,0.91
359373272,0.01,-0.37,0.91
359378248,-0.02,-0.34,0.88
359383256,-0.04,-0.31,0.86
359388304,-0.03,-0.30,0.83
359393320,0.01,-0.27,0.81
359398296,-0.00,-0.26,0.80
359403304,0.00,-0.23,0.80
359408192,0.00,-0.23,0.80
359413072,-0.02,-0.23,0.80
359418096,0.01,-0.20,0.79
359423048,0.02,-0.19,0.79
359428008,-0.02,-0.18,0.79
359432992,0.02,-0.19,0.77
359437960,0.03,-0.18,0.77
359442936,0.02,-0.19,0.77
359447936,0.05,-0.17,0.77
359452928,0.04,-0.15,0.76
359457896,0.06,-0.14,0.73
359462896,0.08,-0.12,0.73
359467888,0.11,-0.10,0.73
359472864,0.11,-0.07,0.73
359477848,0.15,-0.07,0.74
359482808,0.16,-0.06,0.74
359487784,0.18,-0.05,0.75
359492744,0.19,-0.03,0.76
359497704,0.20,-0.04,0.78
359502656,0.21,-0.04,0.81
359507640,0.21,-0.05,0.81
359512632,0.21,-0.03,0.81
359517616,0.21,-0.06,0.81
359522600,0.18,-0.05,0.82
359527576,0.20,-0.04,0.82
359532520,0.21,-0.03,0.82
359537512,0.23,-0.02,0.81
359542496,0.22,-0.01,0.82
359547472,0.24,0.00,0.81
359552416,0.26,0.02,0.80
359557336,0.28,0.02,0.82
359562256,0.31,0.04,0.84
359567216,0.34,0.04,0.85
359572152,0.34,-0.01,0.84
359577128,0.37,0.05,0.86
359582064,0.41,0.04,0.88
359586984,0.41,0.04,0.90
359591912,0.43,0.03,0.91
359596864,0.44,0.02,0.92
359601808,0.47,0.02,0.93
359606744,0.44,0.02,0.94
359611672,0.44,0.02,0.94
359616592,0.43,0.03,0.94
359621560,0.42,0.04,0.94
359626496,0.41,0.05,0.92
359631456,0.40,0.06,0.91
359636376,0.38,0.07,0.92
359641328,0.39,0.07,0.91
359646264,0.36,0.09,0.88
359651200,0.38,0.09,0.87
359656144,0.39,0.10,0.88
359661080,0.39,0.10,0.86
359666008,0.38,0.08,0.86
359670936,0.40,0.08,0.85
359675856,0.42,0.05,0.83
359680800,0.32,-0.22,1.35
359685776,0.50,-0.21,1.37
359690744,0.89,-0.16,1.89
359695744,0.48,-0.17,1.52
359700736,0.32,-0.31,1.42
359705736,0.61,-0.15,1.45
359710744,0.71,-0.14,1.51
359715744,0.62,-0.20,1.50
359720712,0.59,-0.18,1.43
359725720,0.64,-0.18,1.34
359730712,0.56,-0.09,1.25
359735696,0.43,-0.05,1.10
359740672,0.45,-0.03,1.00
359745632,0.47,-0.04,0.93
359690744,359745632,2.09,0.89,-0.16,1.89,tap-2
359807464,0.25,-0.17,1.01
359812448,0.28,-0.14,1.03
359817424,0.24,-0.13,1.02
359822392,0.27,-0.16,1.03
359827376,0.23,-0.07,1.00
359832336,0.26,-0.03,0.98
359837320,0.26,-0.05,0.96
359842280,0.28,-0.03,0.95
359847272,0.25,0.03,0.92
359852240,0.24,0.02,0.92
359857192,0.29,0.02,0.91
359862136,0.28,0.02,0.89
359867056,0.28,0.03,0.89
359872000,0.28,0.03,0.89
359876920,0.29,0.06,0.89
359881864,0.31,0.04,0.86
359886808,0.32,0.03,0.86
359891744,0.31,0.06,0.85
359896688,0.31,0.07,0.84
359901616,0.33,0.08,0.84
359906576,0.33,0.07,0.84
359911520,0.37,0.07,0.84
359916456,0.33,0.07,0.84
359921392,0.34,0.08,0.82
359926352,0.34,0.07,0.81
359931280,0.36,0.06,0.82
359936256,0.38,0.04,0.82
359941192,0.35,0.05,0.84
359946136,0.35,0.07,0.84
359951072,0.33,0.07,0.84
359956000,0.34,0.06,0.83
359960936,0.32,0.05,0.84
359965880,0.32,0.05,0.84
359970808,0.30,0.06,0.83
359975744,0.31,0.06,0.84
359980688,0.29,0.04,0.85
359985608,0.30,0.05,0.83
359990552,0.28,0.05,0.84
359995480,0.26,0.04,0.86
360000424,0.24,0.06,0.86
360005344,0.24,0.05,0.86
360010272,0.25,0.05,0.86
360015224,0.26,0.05,0.86
360020184,0.24,0.04,0.86
360025120,0.22,0.03,0.88
360030056,0.24,0.02,0.87
360034984,0.23,0.03,0.87
360039912,0.22,0.03,0.87
360044856,0.22,0.03,0.89
360049800,0.21,0.03,0.88
360054728,0.20,0.03,0.88
360059640,0.19,0.03,0.90
360064568,0.21,0.02,0.88
360069496,0.22,0.03,0.89
360074424,0.20,0.01,0.86
360079336,0.21,0.01,0.86
360084280,0.20,0.00,0.87
360089216,0.19,-0.01,0.86
360094200,0.20,-0.01,0.86
360099184,0.19,-0.01,0.86
360104184,0.19,-0.03,0.86
360109176,0.17,0.00,0.87
360114104,0.19,-0.03,0.90
360119056,0.20,-0.05,0.89
360123992,0.21,-0.03,0.90
360128944,0.21,-0.04,0.90
360133904,0.22,-0.03,0.91
360138888,0.23,-0.04,0.92
360143872,0.23,-0.05,0.92
360148840,0.24,-0.04,0.92
360153800,0.24,-0.05,0.92
360158760,0.25,-0.05,0.93
360163736,0.26,-0.05,0.90
360168680,0.24,-0.05,0.91
360173632,0.21,-0.04,0.92
360178616,0.22,-0.06,0.92
360183592,0.20,-0.06,0.93
360188560,0.21,-0.05,0.92
360193512,0.21,-0.06,0.91
360198504,0.21,-0.06,0.93
360203480,0.20,-0.06,0.93
360208432,0.20,-0.06,0.92
360213368,0.21,-0.08,0.95
360218328,0.20,-0.08,0.95
360223288,0.18,-0.07,0.97
360228264,0.20,-0.07,0.96
360233248,0.18,-0.09,0.98
360238232,0.20,-0.10,1.00
360243168,0.20,-0.10,1.00
360248152,0.33,-0.37,0.98
360253128,0.26,-0.17,1.00
360258112,0.13,-0.07,0.99
360263088,0.19,-0.12,0.98
360268064,0.20,-0.12,1.01
360273040,0.18,-0.13,0.99
360278008,0.16,-0.11,1.01
360283000,0.20,-0.13,1.00
360287952,0.17,-0.14,1.01
360292952,0.15,-0.14,1.02
360297952,0.15,-0.14,1.02
360302952,0.17,-0.15,1.00
360307944,0.18,-0.15,1.01
360312936,0.15,-0.14,1.00
360317920,0.16,-0.17,1.00
360322912,0.17,-0.16,1.02
360327920,0.13,-0.15,1.01
360332912,0.08,-0.10,1.00
360337880,0.16,-0.16,0.99
360342872,0.13,-0.11,1.00
360347872,0.17,-0.14,1.02
360352856,0.20,-0.14,1.02
360357832,0.19,-0.14,1.03
360362816,0.16,-0.15,1.02
360367800,0.18,-0.14,1.00
360372776,0.18,-0.17,1.01
360377752,0.18,-0.08,1.00
360382712,0.18,-0.11,0.98
360387688,0.20,-0.12,0.98
360392648,0.21,-0.12,0.97
360397632,0.19,-0.13,0.97
360402632,0.20,-0.13,0.98
360407616,0.25,-0.12,0.97
360412624,0.23,-0.08,0.98
360417600,0.20,-0.10,0.97
360422592,0.22,-0.10,0.93
360427576,0.19,-0.10,0.95
360432568,0.21,-0.11,0.93
360437560,0.17,-0.07,0.96
360442544,0.20,-0.10,0.95
360447504,0.21,-0.10,0.97
360452496,0.21,-0.10,0.97
360457480,0.21,-0.09,0.96
360462432,0.21,-0.10,0.94
360467400,0.21,-0.10,0.94
