,0.08,0.02,0.97
212705896,0.10,0.09,0.85
212710808,0.11,0.08,0.86
212715768,0.11,0.09,0.86
212720712,0.12,0.09,0.85
212725640,0.13,0.11,0.85
212730584,0.13,0.10,0.82
212735520,0.11,0.12,0.82
212740472,0.10,0.11,0.81
212745416,0.12,0.12,0.80
212750328,0.17,0.16,0.82
212755280,0.14,0.11,0.85
212760224,0.11,0.12,0.87
212765192,0.04,0.19,0.88
212770112,0.14,0.08,0.87
212775064,0.13,0.08,0.90
212780000,0.20,0.10,0.90
212784896,0.15,-0.15,1.18
212789888,-0.20,-0.25,1.10
212794896,0.29,-0.35,1.79
212799888,0.37,-0.14,1.63
212804880,-0.04,-0.23,1.50
212809904,-0.25,-0.16,1.40
212814936,-0.14,0.03,1.36
212819912,0.04,0.01,1.38
212824840,0.06,-0.01,1.40
212829800,0.08,-0.01,1.38
212834784,0.08,-0.00,1.30
212839752,0.10,-0.01,1.24
212844752,0.11,0.05,1.14
212849728,0.16,0.03,1.08
212854688,0.25,-0.00,1.03
212859656,0.30,-0.10,1.12
212864640,0.25,-0.07,0.98
212799888,212864640,1.68,0.37,-0.14,1.63,tap-1
212926456,0.22,-0.02,0.96
212931464,0.20,0.00,0.98
212936376,0.21,-0.00,1.01
212941376,0.21,0.01,1.00
212946296,0.21,0.02,1.00
212951240,0.19,0.03,0.98
212956160,0.19,0.03,0.96
212961096,0.16,0.04,0.95
212966040,0.16,0.04,0.92
212970968,0.15,0.04,0.90
212975904,0.15,0.04,0.88
212980840,0.16,0.05,0.87
212985784,0.14,0.06,0.85
212990728,0.15,0.07,0.84
212995680,0.15,0.09,0.82
213000592,0.15,0.11,0.81
213005528,0.15,0.10,0.79
213010448,0.15,0.14,0.78
213015408,0.14,0.13,0.78
213020352,0.13,0.15,0.77
213025304,0.13,0.14,0.76
213030248,0.13,0.13,0.74
213035192,0.11,0.14,0.76
213040136,0.08,0.14,0.78
213045072,0.08,0.14,0.77
213050032,0.07,0.12,0.81
213054960,0.05,0.11,0.82
213059888,0.05,0.09,0.83
213064800,0.02,0.09,0.85
213069728,0.01,0.08,0.85
213074664,-0.02,0.08,0.86
213079608,-0.03,0.06,0.87
213084552,-0.05,0.08,0.88
213089488,-0.07,0.06,0.90
213094448,-0.08,0.06,0.89
213099424,-0.10,0.05,0.88
213104368,-0.11,0.05,0.89
213109376,-0.11,0.04,0.89
213114352,-0.10,0.03,0.90
213119328,-0.12,0.03,0.91
213124312,-0.14,0.03,0.92
213129288,-0.13,0.04,0.92
213134248,-0.13,0.03,0.94
213139208,-0.15,0.03,0.95
213144184,-0.13,0.05,0.93
213149144,-0.15,0.03,0.94
213154128,-0.14,0.02,0.96
213159112,-0.14,0.02,0.95
213164080,-0.14,0.01,0.93
213169072,-0.13,0.01,0.94
213174072,-0.11,0.01,0.95
213179064,-0.10,0.01,0.93
213184056,-0.10,0.00,0.95
213189016,-0.11,0.01,0.95
213194008,-0.10,-0.01,0.95
213199000,-0.08,0.03,0.95
213203944,-0.03,0.01,0.96
213208896,0.00,0.01,0.97
213213736,0.00,0.02,0.99
213218664,-0.05,0.05,0.96
213223600,-0.01,-0.01,0.95
213228600,0.01,-0.00,0.96
213233560,-0.04,-0.09,1.06
213238552,-0.26,-0.39,1.47
213243560,0.04,-0.36,1.80
213248544,0.27,-0.28,1.75
213253536,-0.22,-0.31,1.50
213258584,-0.51,-0.25,1.35
213263632,-0.21,-0.03,1.32
213268672,-0.00,-0.04,1.35
213273688,-0.05,-0.02,1.35
213278704,-0.12,-0.05,1.29
213283752,-0.15,-0.03,1.20
213288784,-0.14,-0.02,1.11
213293808,-0.12,-0.04,1.05
213298816,-0.05,-0.02,0.98
213243560,213298816,1.84,0.04,-0.36,1.80,tap-2
213360624,-0.06,-0.06,1.00
213365616,-0.04,-0.05,1.01
213370608,-0.05,-0.05,1.00
213375592,-0.03,-0.05,0.99
213380576,-0.01,-0.01,0.98
213385576,-0.05,-0.02,0.98
213390568,-0.03,-0.03,0.99
213395560,-0.04,-0.02,1.00
213400544,-0.03,-0.00,1.00
213405528,-0.04,-0.02,1.01
213410512,-0.05,-0.03,0.98
213415504,-0.04,0.00,1.00
213420448,-0.04,0.00,0.99
213425400,-0.03,0.02,0.97
213430352,-0.01,0.02,0.98
213435312,0.02,0.01,0.97
213440224,0.04,0.01,0.96
213445168,0.04,0.01,0.95
213450080,0.07,0.02,0.97
213455024,0.07,0.02,0.96
213459960,0.09,0.01,0.97
213464888,0.10,0.02,0.95
213469800,0.10,0.01,0.93
213474736,0.10,0.01,0.93
213479672,0.11,0.01,0.95
213484616,0.11,-0.01,0.94
213489600,0.10,0.02,0.95
213494504,0.11,0.03,0.95
213499440,0.11,0.03,0.94
213504400,0.09,0.04,0.93
213509296,0.07,0.03,0.94
213514200,0.08,0.04,0.93
213519112,0.05,0.03,0.94
213524040,0.07,0.05,0.94
213528976,0.07,0.06,0.92
213533888,0.07,0.07,0.92
213538792,0.07,0.07,0.91
213543720,0.07,0.06,0.91
213548656,0.07,0.06,0.92
213553576,0.07,0.09,0.91
213558488,0.08,0.09,0.89
213563408,0.07,0.08,0.89
213568336,0.09,0.10,0.89
213573232,0.10,0.11,0.90
213578160,0.13,0.10,0.91
213583088,0.12,0.10,0.90
213588016,0.15,0.12,0.92
213592976,0.14,0.10,0.91
213597896,0.15,0.10,0.91
213602848,0.15,0.10,0.91
213607768,0.16,0.09,0.92
213612704,0.15,0.08,0.90
213617648,0.14,0.10,0.90
213622552,0.14,0.09,0.91
213627488,0.13,0.11,0.90
213632440,0.13,0.10,0.90
213637384,0.16,0.10,0.91
213642312,0.14,0.11,0.91
213647256,0.13,0.10,0.91
213652184,0.14,0.11,0.91
213657120,0.13,0.11,0.91
213662088,0.11,0.12,0.92
213667048,0.16,0.10,0.90
213671976,0.04,0.13,0.90
213676896,0.08,0.10,0.91
213681816,0.11,0.11,0.92
213686768,0.11,0.12,0.92
213691736,0.11,0.12,0.93
213696688,0.14,0.09,0.93
213701616,0.13,0.09,0.94
213706544,0.15,0.10,0.92
213711480,0.18,0.09,0.94
213716416,0.15,0.10,0.95
213721384,0.16,0.09,0.94
213726312,0.17,0.10,0.95
213731240,0.17,0.09,0.97
213736168,0.17,0.10,0.99
213741088,0.16,0.09,0.98
213746032,0.16,0.09,0.98
213750960,0.15,0.10,0.99
213755880,0.13,0.08,1.00
213760808,0.13,0.07,1.00
213765744,0.13,0.08,1.00
213770664,0.16,0.08,1.02
213775592,0.16,0.07,1.03
213780520,0.14,0.06,1.04
213785448,0.14,0.06,1.03
213790392,0.13,0.08,1.03
213795336,0.14,0.06,1.03
213800264,0.14,0.07,1.04
213805192,0.14,0.06,1.03
213810120,0.12,0.05,1.03
213815064,0.13,0.12,1.03
213820040,0.11,0.07,1.04
213824984,0.14,0.06,1.05
213829928,0.17,0.06,1.03
213834864,0.16,0.08,1.04
213839784,0.16,0.07,1.02
213844736,0.15,0.06,1.02
213849688,0.14,0.09,1.02
213854608,0.15,0.07,1.02
213859544,0.15,0.08,1.01
213864480,0.13,0.09,1.01
213869416,0.13,0.08,1.00
213874328,0.14,0.08,1.00
213879240,0.14,0.07,1.00
213884168,0.11,0.08,1.00
213889080,0.10,0.08,1.01
213894008,0.10,0.09,1.01
213898920,0.11,0.09,1.00
213903848,0.10,0.08,1.01
213908760,0.10,0.08,1.01
213913696,0.09,0.08,1.00
213918584,0.08,0.07,1.00
213923496,0.10,0.07,1.01
213928424,0.09,0.06,1.00
213933328,0.09,0.07,1.00
213938224,0.10,0.09,1.00
213943120,0.10,0.09,0.99
213948040,0.12,0.07,0.99
213952976,0.11,0.06,0.99
213957904,0.10,0.06,0.99
213962816,0.10,0.07,1.00
